name,good,da,bad,da2
's,1834,NOUN,0.0,0
in,1496,NOUN,1023.0,NOUN
food,1302,NOUN,763.0,NOUN
service,1052,NOUN,385.0,NOUN
good,970,NOUN,139.0,NOUN
at,907,NOUN,0.0,0
time,651,NOUN,388.0,NOUN
out,585,NOUN,0.0,0
server,543,NOUN,250.0,NOUN
place,485,NOUN,248.0,NOUN
go,475,NOUN,267.0,NOUN
back,472,NOUN,354.0,NOUN
love,453,NOUN,17.0,NOUN
get,429,NOUN,379.0,NOUN
chicken,413,NOUN,170.0,NOUN
experience,396,NOUN,209.0,NOUN
one,381,NOUN,360.0,NOUN
up,346,NOUN,314.0,NOUN
drinks,346,NOUN,160.0,NOUN
awesome,345,NOUN,0.0,0
restaurant,340,NOUN,193.0,NOUN
order,328,NOUN,364.0,NOUN
location,323,NOUN,132.0,NOUN
well,306,NOUN,89.0,NOUN
can,304,NOUN,0.0,0
table,304,NOUN,342.0,NOUN
staff,302,NOUN,73.0,NOUN
bar,301,NOUN,134.0,NOUN
chips,286,NOUN,117.0,NOUN
menu,285,NOUN,66.0,NOUN
$,280,NOUN,98.0,NOUN
what,278,NOUN,222.0,NOUN
wait,238,NOUN,179.0,NOUN
night,229,NOUN,70.0,NOUN
Great,222,NOUN,0.0,0
meal,214,NOUN,160.0,NOUN
dinner,214,NOUN,84.0,NOUN
know,214,NOUN,0.0,0
excellent,212,NOUN,0.0,0
waitress,212,NOUN,225.0,NOUN
Chilis,210,NOUN,0.0,0
salsa,203,NOUN,80.0,NOUN
lunch,200,NOUN,71.0,NOUN
right,194,NOUN,118.0,NOUN
manager,193,NOUN,335.0,NOUN
family,190,NOUN,77.0,NOUN
everything,189,NOUN,46.0,NOUN
favorite,185,NOUN,0.0,0
super,183,NOUN,0.0,0
who,174,NOUN,131.0,NOUN
times,169,NOUN,84.0,NOUN
waiter,164,NOUN,130.0,NOUN
customer,160,NOUN,99.0,NOUN
drink,160,NOUN,132.0,NOUN
area,158,NOUN,68.0,NOUN
salad,158,NOUN,80.0,NOUN
before,156,NOUN,0.0,0
little,154,NOUN,55.0,NOUN
people,154,NOUN,131.0,NOUN
over,152,NOUN,0.0,0
visit,152,NOUN,51.0,NOUN
Food,151,NOUN,23.0,NOUN
off,149,NOUN,0.0,0
burger,149,NOUN,79.0,NOUN
way,148,NOUN,119.0,NOUN
after,148,NOUN,0.0,0
servers,145,NOUN,47.0,NOUN
care,143,NOUN,56.0,NOUN
name,142,NOUN,51.0,NOUN
fries,137,NOUN,75.0,NOUN
appetizer,137,NOUN,61.0,NOUN
ask,136,NOUN,0.0,0
hour,136,NOUN,89.0,NOUN
chili,134,NOUN,60.0,NOUN
day,133,NOUN,52.0,NOUN
perfect,133,NOUN,0.0,0
husband,132,NOUN,99.0,NOUN
steak,130,NOUN,71.0,NOUN
job,124,NOUN,30.0,NOUN
restaurants,124,NOUN,35.0,NOUN
both,123,NOUN,0.0,0
cheese,123,NOUN,66.0,NOUN
dessert,122,NOUN,20.0,NOUN
lot,118,NOUN,27.0,NOUN
kids,118,NOUN,64.0,NOUN
minutes,117,NOUN,380.0,NOUN
Thanks,116,NOUN,7.0,NOUN
am,116,NOUN,0.0,0
take,114,NOUN,109.0,NOUN
chilis,114,NOUN,55.0,NOUN
side,113,NOUN,46.0,NOUN
fajitas,110,NOUN,48.0,NOUN
friends,110,NOUN,23.0,NOUN
chain,108,NOUN,33.0,NOUN
being,107,NOUN,107.0,NOUN
today,106,NOUN,19.0,NOUN
bartender,106,NOUN,60.0,NOUN
try,105,NOUN,41.0,NOUN
down,105,NOUN,0.0,0
special,105,NOUN,0.0,0
thing,101,NOUN,59.0,NOUN
work,101,NOUN,64.0,NOUN
Service,101,NOUN,18.0,NOUN
deal,101,NOUN,21.0,NOUN
something,101,NOUN,78.0,NOUN
kind,101,NOUN,28.0,NOUN
atmosphere,100,NOUN,3.0,NOUN
feel,100,NOUN,0.0,0
while,100,NOUN,120.0,NOUN
home,97,NOUN,40.0,NOUN
top,97,NOUN,41.0,NOUN
margarita,97,NOUN,20.0,NOUN
ca,97,NOUN,0.0,0
things,96,NOUN,59.0,NOUN
ribs,94,NOUN,36.0,NOUN
review,93,NOUN,38.0,NOUN
smile,91,NOUN,8.0,NOUN
stars,89,NOUN,39.0,NOUN
tonight,88,NOUN,23.0,NOUN
Love,88,NOUN,0.0,0
sauce,88,NOUN,35.0,NOUN
margaritas,85,NOUN,8.0,NOUN
fun,83,NOUN,6.0,NOUN
tasty,83,NOUN,0.0,0
everyone,82,NOUN,32.0,NOUN
comes,82,NOUN,0.0,0
queso,81,NOUN,35.0,NOUN
check,80,NOUN,118.0,NOUN
friend,80,NOUN,26.0,NOUN
bacon,80,NOUN,23.0,NOUN
makes,79,NOUN,17.0,NOUN
soup,78,NOUN,36.0,NOUN
burgers,78,NOUN,25.0,NOUN
reviews,78,NOUN,31.0,NOUN
shrimp,76,NOUN,30.0,NOUN
boyfriend,76,NOUN,35.0,NOUN
let,76,NOUN,0.0,0
wife,74,NOUN,57.0,NOUN
cake,72,NOUN,8.0,NOUN
years,71,NOUN,52.0,NOUN
prices,71,NOUN,6.0,NOUN
anything,71,NOUN,79.0,NOUN
A,70,NOUN,0.0,0
birthday,70,NOUN,19.0,NOUN
yummy,70,NOUN,0.0,0
places,70,NOUN,18.0,NOUN
appetizers,69,NOUN,43.0,NOUN
spot,69,NOUN,10.0,NOUN
dining,69,NOUN,43.0,NOUN
games,68,NOUN,4.0,NOUN
week,68,NOUN,18.0,NOUN
customers,67,NOUN,55.0,NOUN
need,67,NOUN,46.0,NOUN
meals,66,NOUN,53.0,NOUN
wings,65,NOUN,19.0,NOUN
hostess,64,NOUN,72.0,NOUN
party,64,NOUN,41.0,NOUN
tables,63,NOUN,130.0,NOUN
taste,62,NOUN,21.0,NOUN
price,61,NOUN,22.0,NOUN
pay,61,NOUN,0.0,0
daughter,60,NOUN,28.0,NOUN
must,60,NOUN,0.0,0
entrees,60,NOUN,17.0,NOUN
thought,59,NOUN,74.0,NOUN
bit,59,NOUN,14.0,NOUN
son,59,NOUN,21.0,NOUN
eating,58,NOUN,90.0,NOUN
guacamole,58,NOUN,24.0,NOUN
orders,58,NOUN,51.0,NOUN
ate,57,NOUN,0.0,0
point,57,NOUN,79.0,NOUN
flavor,57,NOUN,12.0,NOUN
Good,57,NOUN,5.0,NOUN
pasta,56,NOUN,15.0,NOUN
chocolate,56,NOUN,3.0,NOUN
game,56,NOUN,10.0,NOUN
Everything,55,NOUN,5.0,NOUN
quality,55,NOUN,41.0,NOUN
spicy,54,NOUN,6.0,NOUN
year,54,NOUN,29.0,NOUN
working,54,NOUN,30.0,NOUN
crispers,54,NOUN,10.0,NOUN
rice,54,NOUN,26.0,NOUN
looking,53,NOUN,42.0,NOUN
worth,53,NOUN,0.0,0
half,53,NOUN,58.0,NOUN
star,52,NOUN,19.0,NOUN
refills,52,NOUN,38.0,NOUN
look,51,NOUN,61.0,NOUN
wish,51,NOUN,16.0,NOUN
waiting,51,NOUN,110.0,NOUN
whole,50,NOUN,39.0,NOUN
couple,50,NOUN,33.0,NOUN
beans,50,NOUN,16.0,NOUN
specials,49,NOUN,1.0,NOUN
molten,49,NOUN,0.0,0
use,49,NOUN,34.0,NOUN
broccoli,49,NOUN,12.0,NOUN
doing,49,NOUN,0.0,0
start,48,NOUN,31.0,NOUN
guys,48,NOUN,12.0,NOUN
date,47,NOUN,5.0,NOUN
dip,47,NOUN,9.0,NOUN
course,46,NOUN,24.0,NOUN
stop,46,NOUN,28.0,NOUN
corn,45,NOUN,11.0,NOUN
ice,45,NOUN,18.0,NOUN
tip,45,NOUN,60.0,NOUN
amount,45,NOUN,18.0,NOUN
evening,45,NOUN,17.0,NOUN
play,45,NOUN,0.0,0
beer,45,NOUN,17.0,NOUN
bill,45,NOUN,87.0,NOUN
parking,44,NOUN,11.0,NOUN
guy,44,NOUN,36.0,NOUN
ranch,44,NOUN,43.0,NOUN
tea,44,NOUN,10.0,NOUN
professional,44,NOUN,0.0,0
bartenders,43,NOUN,8.0,NOUN
items,43,NOUN,30.0,NOUN
options,43,NOUN,8.0,NOUN
town,43,NOUN,14.0,NOUN
cool,43,NOUN,0.0,0
plate,42,NOUN,62.0,NOUN
thank,42,NOUN,0.0,0
fan,42,NOUN,8.0,NOUN
honey,42,NOUN,6.0,NOUN
management,41,NOUN,47.0,NOUN
person,41,NOUN,47.0,NOUN
thanks,41,NOUN,11.0,NOUN
rolls,41,NOUN,5.0,NOUN
bring,41,NOUN,0.0,0
past,41,NOUN,25.0,NOUN
baby,40,NOUN,20.0,NOUN
onion,40,NOUN,22.0,NOUN
tacos,40,NOUN,14.0,NOUN
LOVE,40,NOUN,0.0,0
triple,40,NOUN,0.0,0
waiters,40,NOUN,12.0,NOUN
black,39,NOUN,19.0,NOUN
door,39,NOUN,32.0,NOUN
group,39,NOUN,26.0,NOUN
wrong,39,NOUN,138.0,NOUN
someone,39,NOUN,66.0,NOUN
n,39,NOUN,0.0,0
entree,39,NOUN,17.0,NOUN
choice,39,NOUN,9.0,NOUN
sandwich,38,NOUN,24.0,NOUN
What,38,NOUN,43.0,NOUN
cream,38,NOUN,11.0,NOUN
attitude,38,NOUN,54.0,NOUN
team,38,NOUN,4.0,NOUN
dish,38,NOUN,26.0,NOUN
reason,38,NOUN,25.0,NOUN
choices,38,NOUN,5.0,NOUN
Came,37,NOUN,8.0,NOUN
water,37,NOUN,74.0,NOUN
section,37,NOUN,20.0,NOUN
egg,36,NOUN,4.0,NOUN
house,36,NOUN,11.0,NOUN
avocado,36,NOUN,16.0,NOUN
fact,35,NOUN,35.0,NOUN
experiences,35,NOUN,17.0,NOUN
problem,35,NOUN,54.0,NOUN
plus,35,NOUN,7.0,NOUN
lol,35,NOUN,0.0,0
end,35,NOUN,25.0,NOUN
crispy,34,NOUN,13.0,NOUN
taking,34,NOUN,0.0,0
skillet,34,NOUN,14.0,NOUN
return,34,NOUN,35.0,NOUN
hope,34,NOUN,10.0,NOUN
mom,34,NOUN,15.0,NOUN
anyone,34,NOUN,37.0,NOUN
prompt,34,NOUN,0.0,0
pickles,33,NOUN,11.0,NOUN
Everyone,33,NOUN,6.0,NOUN
enchilada,33,NOUN,9.0,NOUN
checking,33,NOUN,6.0,NOUN
chipotle,33,NOUN,4.0,NOUN
To,32,NOUN,31.0,NOUN
portion,32,NOUN,10.0,NOUN
lots,32,NOUN,4.0,NOUN
close,32,NOUN,34.0,NOUN
nothing,32,NOUN,71.0,NOUN
room,32,NOUN,27.0,NOUN
buffalo,32,NOUN,8.0,NOUN
strawberry,32,NOUN,1.0,NOUN
part,31,NOUN,31.0,NOUN
ordering,31,NOUN,24.0,NOUN
mind,31,NOUN,22.0,NOUN
card,31,NOUN,25.0,NOUN
month,31,NOUN,11.0,NOUN
app,31,NOUN,10.0,NOUN
mention,31,NOUN,18.0,NOUN
perfection,31,NOUN,1.0,NOUN
mango,31,NOUN,5.0,NOUN
lava,31,NOUN,2.0,NOUN
locations,31,NOUN,13.0,NOUN
needs,31,NOUN,29.0,NOUN
selection,31,NOUN,1.0,NOUN
patient,31,NOUN,0.0,0
choose,31,NOUN,0.0,0
offer,30,NOUN,18.0,NOUN
sports,30,NOUN,1.0,NOUN
tender,30,NOUN,3.0,NOUN
dipper,30,NOUN,2.0,NOUN
welcoming,30,NOUN,0.0,0
booth,30,NOUN,24.0,NOUN
kitchen,30,NOUN,93.0,NOUN
change,30,NOUN,20.0,NOUN
fajita,30,NOUN,11.0,NOUN
stuff,30,NOUN,14.0,NOUN
bowl,29,NOUN,17.0,NOUN
talk,29,NOUN,34.0,NOUN
Awesome,29,NOUN,0.0,0
front,29,NOUN,47.0,NOUN
waitresses,29,NOUN,19.0,NOUN
sitting,29,NOUN,0.0,0
Yelp,29,NOUN,10.0,NOUN
Chips,29,NOUN,3.0,NOUN
sirloin,29,NOUN,4.0,NOUN
rest,29,NOUN,24.0,NOUN
cold,29,NOUN,119.0,NOUN
variety,29,NOUN,0.0,0
desert,29,NOUN,5.0,NOUN
mashed,29,NOUN,0.0,0
rings,29,NOUN,7.0,NOUN
potatoes,29,NOUN,9.0,NOUN
minute,29,NOUN,27.0,NOUN
quesadillas,29,NOUN,13.0,NOUN
quesadilla,29,NOUN,13.0,NOUN
potato,28,NOUN,6.0,NOUN
employees,28,NOUN,32.0,NOUN
value,28,NOUN,3.0,NOUN
mouth,28,NOUN,10.0,NOUN
serving,28,NOUN,21.0,NOUN
boneless,28,NOUN,3.0,NOUN
Day,28,NOUN,0.0,0
request,28,NOUN,8.0,NOUN
host,28,NOUN,18.0,NOUN
attention,27,NOUN,29.0,NOUN
refill,27,NOUN,28.0,NOUN
desserts,27,NOUN,5.0,NOUN
girl,27,NOUN,35.0,NOUN
add,27,NOUN,0.0,0
beat,27,NOUN,0.0,0
ones,26,NOUN,4.0,NOUN
environment,26,NOUN,4.0,NOUN
serve,26,NOUN,0.0,0
moment,26,NOUN,12.0,NOUN
rating,26,NOUN,10.0,NOUN
deals,26,NOUN,0.0,0
share,26,NOUN,0.0,0
awhile,26,NOUN,3.0,NOUN
days,26,NOUN,20.0,NOUN
etc,25,NOUN,13.0,NOUN
visits,25,NOUN,4.0,NOUN
portions,25,NOUN,4.0,NOUN
life,25,NOUN,39.0,NOUN
Chipotle,25,NOUN,0.0,0
inside,24,NOUN,14.0,NOUN
bite,24,NOUN,35.0,NOUN
AMAZING,24,NOUN,0.0,0
rewards,24,NOUN,0.0,0
personality,24,NOUN,3.0,NOUN
salt,24,NOUN,15.0,NOUN
cause,24,NOUN,15.0,NOUN
manner,24,NOUN,4.0,NOUN
sister,24,NOUN,15.0,NOUN
pick,24,NOUN,28.0,NOUN
along,24,NOUN,0.0,0
Manager,24,NOUN,13.0,NOUN
gift,24,NOUN,11.0,NOUN
bites,24,NOUN,9.0,NOUN
coupons,24,NOUN,14.0,NOUN
welcome,23,NOUN,4.0,NOUN
plenty,23,NOUN,7.0,NOUN
help,23,NOUN,24.0,NOUN
lady,23,NOUN,21.0,NOUN
option,23,NOUN,14.0,NOUN
business,23,NOUN,50.0,NOUN
chance,23,NOUN,22.0,NOUN
forgot,23,NOUN,24.0,NOUN
combo,23,NOUN,6.0,NOUN
issue,23,NOUN,20.0,NOUN
size,22,NOUN,7.0,NOUN
managers,22,NOUN,15.0,NOUN
Drinks,22,NOUN,6.0,NOUN
tortilla,22,NOUN,9.0,NOUN
music,22,NOUN,3.0,NOUN
cookie,22,NOUN,1.0,NOUN
nachos,22,NOUN,7.0,NOUN
outside,22,NOUN,15.0,NOUN
Margaritas,22,NOUN,0.0,0
weekend,22,NOUN,9.0,NOUN
seating,22,NOUN,15.0,NOUN
beers,22,NOUN,9.0,NOUN
treat,22,NOUN,0.0,0
cook,21,NOUN,20.0,NOUN
yelp,21,NOUN,5.0,NOUN
phone,21,NOUN,22.0,NOUN
rib,21,NOUN,2.0,NOUN
seat,21,NOUN,23.0,NOUN
face,21,NOUN,16.0,NOUN
glass,21,NOUN,22.0,NOUN
Today,21,NOUN,11.0,NOUN
months,21,NOUN,17.0,NOUN
conversation,21,NOUN,8.0,NOUN
receipt,21,NOUN,12.0,NOUN
min,21,NOUN,48.0,NOUN
cob,21,NOUN,5.0,NOUN
spinach,21,NOUN,1.0,NOUN
lemonade,21,NOUN,1.0,NOUN
bean,21,NOUN,2.0,NOUN
establishment,21,NOUN,30.0,NOUN
money,21,NOUN,44.0,NOUN
kid,21,NOUN,7.0,NOUN
hours,21,NOUN,25.0,NOUN
mine,21,NOUN,16.0,NOUN
guac,21,NOUN,13.0,NOUN
online,21,NOUN,13.0,NOUN
call,21,NOUN,27.0,NOUN
light,21,NOUN,2.0,NOUN
matter,21,NOUN,12.0,NOUN
sides,20,NOUN,12.0,NOUN
meat,20,NOUN,32.0,NOUN
nights,20,NOUN,2.0,NOUN
finish,20,NOUN,8.0,NOUN
chains,20,NOUN,6.0,NOUN
dishes,20,NOUN,22.0,NOUN
Staff,20,NOUN,4.0,NOUN
salmon,20,NOUN,2.0,NOUN
craving,20,NOUN,0.0,0
man,20,NOUN,17.0,NOUN
#,20,NOUN,11.0,NOUN
garlic,19,NOUN,4.0,NOUN
recommendations,19,NOUN,1.0,NOUN
list,19,NOUN,9.0,NOUN
type,19,NOUN,8.0,NOUN
coupon,19,NOUN,17.0,NOUN
steaks,19,NOUN,3.0,NOUN
bag,19,NOUN,8.0,NOUN
Ribs,19,NOUN,0.0,0
works,19,NOUN,0.0,0
Excellent,19,NOUN,0.0,0
chilies,19,NOUN,8.0,NOUN
rush,19,NOUN,15.0,NOUN
world,19,NOUN,4.0,NOUN
glasses,19,NOUN,20.0,NOUN
salads,19,NOUN,7.0,NOUN
sauces,19,NOUN,1.0,NOUN
others,19,NOUN,10.0,NOUN
plan,18,NOUN,6.0,NOUN
girlfriend,18,NOUN,7.0,NOUN
walk,18,NOUN,35.0,NOUN
issues,18,NOUN,14.0,NOUN
dine,18,NOUN,0.0,0
waffles,18,NOUN,3.0,NOUN
rack,18,NOUN,3.0,NOUN
credit,18,NOUN,8.0,NOUN
pizza,18,NOUN,5.0,NOUN
BBQ,18,NOUN,0.0,0
football,18,NOUN,1.0,NOUN
napkins,18,NOUN,21.0,NOUN
playing,18,NOUN,2.0,NOUN
rocks,18,NOUN,1.0,NOUN
paying,18,NOUN,0.0,0
kiosk,18,NOUN,14.0,NOUN
questions,17,NOUN,8.0,NOUN
chip,17,NOUN,4.0,NOUN
TV,17,NOUN,5.0,NOUN
w/,17,NOUN,10.0,NOUN
filling,17,NOUN,2.0,NOUN
trip,17,NOUN,11.0,NOUN
bomb,17,NOUN,1.0,NOUN
Amazing,17,NOUN,0.0,0
medium,17,NOUN,19.0,NOUN
sliders,17,NOUN,10.0,NOUN
burrito,17,NOUN,10.0,NOUN
apps,17,NOUN,4.0,NOUN
email,17,NOUN,4.0,NOUN
Super,17,NOUN,0.0,0
Steak,17,NOUN,0.0,0
u,17,NOUN,15.0,NOUN
Server,17,NOUN,10.0,NOUN
mix,17,NOUN,5.0,NOUN
children,16,NOUN,7.0,NOUN
favorites,16,NOUN,0.0,0
charge,16,NOUN,21.0,NOUN
touch,16,NOUN,5.0,NOUN
beef,16,NOUN,7.0,NOUN
average,16,NOUN,0.0,0
bread,16,NOUN,5.0,NOUN
drive,16,NOUN,8.0,NOUN
run,16,NOUN,0.0,0
crew,16,NOUN,1.0,NOUN
liking,16,NOUN,0.0,0
number,16,NOUN,11.0,NOUN
hand,16,NOUN,10.0,NOUN
please,15,NOUN,0.0,0
plates,15,NOUN,38.0,NOUN
afternoon,15,NOUN,9.0,NOUN
kick,15,NOUN,0.0,0
pleasure,15,NOUN,3.0,NOUN
tastes,15,NOUN,2.0,NOUN
AWESOME,15,NOUN,0.0,0
company,15,NOUN,7.0,NOUN
Cheese,15,NOUN,0.0,0
bucks,15,NOUN,8.0,NOUN
weeks,15,NOUN,10.0,NOUN
closing,15,NOUN,4.0,NOUN
mins,15,NOUN,39.0,NOUN
Tonight,15,NOUN,5.0,NOUN
caramel,15,NOUN,0.0,0
running,15,NOUN,0.0,0
flavors,15,NOUN,0.0,0
calories,15,NOUN,1.0,NOUN
girls,15,NOUN,4.0,NOUN
tv,15,NOUN,4.0,NOUN
tenders,15,NOUN,6.0,NOUN
general,15,NOUN,0.0,0
street,15,NOUN,7.0,NOUN
hospitality,15,NOUN,1.0,NOUN
enchiladas,15,NOUN,10.0,NOUN
fish,15,NOUN,11.0,NOUN
onions,15,NOUN,20.0,NOUN
heart,14,NOUN,3.0,NOUN
movie,14,NOUN,11.0,NOUN
Bar,14,NOUN,0.0,0
Hour,14,NOUN,0.0,0
split,14,NOUN,0.0,0
cup,14,NOUN,15.0,NOUN
Chilies,14,NOUN,0.0,0
trio,14,NOUN,3.0,NOUN
pm,14,NOUN,13.0,NOUN
notch,14,NOUN,0.0,0
SO,14,NOUN,0.0,0
strips,14,NOUN,8.0,NOUN
hubby,14,NOUN,0.0,0
program,14,NOUN,1.0,NOUN
screen,14,NOUN,3.0,NOUN
sandwiches,14,NOUN,4.0,NOUN
members,14,NOUN,4.0,NOUN
miss,13,NOUN,5.0,NOUN
cards,13,NOUN,6.0,NOUN
woman,13,NOUN,15.0,NOUN
Customer,13,NOUN,3.0,NOUN
patrons,13,NOUN,14.0,NOUN
turn,13,NOUN,11.0,NOUN
tap,13,NOUN,2.0,NOUN
trivia,13,NOUN,2.0,NOUN
presidente,13,NOUN,0.0,0
delish,13,NOUN,0.0,0
complaints,13,NOUN,9.0,NOUN
alcohol,13,NOUN,9.0,NOUN
Fridays,13,NOUN,0.0,0
foods,13,NOUN,10.0,NOUN
oz,13,NOUN,1.0,NOUN
system,13,NOUN,5.0,NOUN
def,13,NOUN,0.0,0
surprise,13,NOUN,6.0,NOUN
buy,13,NOUN,6.0,NOUN
salty,13,NOUN,0.0,0
expectations,13,NOUN,4.0,NOUN
Veterans,13,NOUN,0.0,0
stuffed,13,NOUN,0.0,0
yesterday,13,NOUN,3.0,NOUN
Fajitas,13,NOUN,5.0,NOUN
brownie,13,NOUN,2.0,NOUN
explosion,13,NOUN,1.0,NOUN
cups,13,NOUN,12.0,NOUN
mood,13,NOUN,2.0,NOUN
hit,13,NOUN,11.0,NOUN
southwest,13,NOUN,0.0,0
Anyways,13,NOUN,0.0,0
vanilla,13,NOUN,0.0,0
dollar,13,NOUN,4.0,NOUN
airport,13,NOUN,3.0,NOUN
cut,13,NOUN,20.0,NOUN
platter,12,NOUN,2.0,NOUN
dad,12,NOUN,12.0,NOUN
difference,12,NOUN,5.0,NOUN
opinion,12,NOUN,6.0,NOUN
timing,12,NOUN,2.0,NOUN
picture,12,NOUN,6.0,NOUN
exception,12,NOUN,1.0,NOUN
show,12,NOUN,18.0,NOUN
temperature,12,NOUN,6.0,NOUN
line,12,NOUN,17.0,NOUN
families,12,NOUN,4.0,NOUN
watermelon,12,NOUN,0.0,0
flatbread,12,NOUN,10.0,NOUN
mash,12,NOUN,2.0,NOUN
sour,12,NOUN,0.0,0
meeting,12,NOUN,2.0,NOUN
cajun,12,NOUN,4.0,NOUN
mac,12,NOUN,4.0,NOUN
Its,12,NOUN,0.0,0
waitstaff,12,NOUN,7.0,NOUN
jalapeño,12,NOUN,0.0,0
smiles,12,NOUN,0.0,0
Birthday,12,NOUN,0.0,0
joy,12,NOUN,2.0,NOUN
asset,12,NOUN,0.0,0
points,12,NOUN,3.0,NOUN
sign,12,NOUN,12.0,NOUN
machine,12,NOUN,13.0,NOUN
mex,12,NOUN,0.0,0
disappoint,12,NOUN,0.0,0
item,12,NOUN,12.0,NOUN
shopping,12,NOUN,6.0,NOUN
