name,date1,amount,number_investors,website,fb,twitter,instagram,location,description,Founder_0,Title_0,F-Linkedin_0,F-Twitter_0,F-Facebook_0,Bio_0,Founder_1,Title_1,F-Linkedin_1,F-Twitter_1,F-Facebook_1,Bio_1,Founder_2,Title_2,F-Linkedin_2,F-Twitter_2,F-Facebook_2,Bio_2,Founder_3,Title_3,F-Linkedin_3,F-Twitter_3,F-Facebook_3,Bio_3,Founder_4,Title_4,F-Linkedin_4,F-Twitter_4,F-Facebook_4,Bio_4,Founder_5,Title_5,F-Linkedin_5,F-Twitter_5,F-Facebook_5,Bio_5,Founder_6,Title_6,F-Linkedin_6,F-Twitter_6,F-Facebook_6,Bio_6,date,count
bioclonetics,Sep 30 2017,386766,586,http://www.bioclonetics.com,,,,"Heath, TX","BioClonetics is finalizing the production and testing of a monoclonal antibody to treat patients with HIV. HIV is a virus that infects 37 million and kills approximately 1.2 million every year, and today there is still no cure. At BioClonetics, we've created a  cell line that produces fully human monoclonal antibodies to specifically target and neutralize infectious diseases including HIV. If successful, this could be the first true cure for HIV at a fraction of the price of current treatment.",Joseph P. Cotropia,CSO,https://www.linkedin.com/in/joseph-cotropia-bb5a879,,,"Southwestern Medical School
M.S. Physiological Chemistry
B.S. Chemistry
Over 45 years of medical research and practice","Tomasz Zastawny, DSc, Ph.D.",Chief Clinical Operations Office,https://www.linkedin.com/in/tomasz-h-zastawny/,,,"Drug Development Executive with 20 years of global, cross-functional experience in Clinical Research, CMC, QA, Regulatory Affairs and Project Management in various therapeutic areas.",Paul D. Fellegy,Chief Financial Officer,https://www.linkedin.com/in/paul-d-fellegy-3a056515,,,Over 25 years of experience in the financial field working with national financial groups in a variety of roles.,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-30,1
fungi,Feb 10 2017,125000,181,http://www.fun-gi.com,https://www.facebook.com/fungigames,http://twitter.com/fun_gify,,"Torrance, CA","We design and publish games that enable emerging brands to engage fans beyond traditional media. Our first partners are the stars of HGTV's most-watched show ever: Chip and Jo of 'Fixer Upper'.  We will be launching our mobile game, House Flip, following the premiere of 'Fixer Upper' season 4 in mid December.",Alfred Fung,CEO,https://www.linkedin.com/in/alfredfung,https://twitter.com/MobileMadMen,https://www.facebook.com/app_scoped_user_id/10154783096819610/,"Prior to fun-gi, Alfred oversaw teams in LA, SF, and NYC for global leader in mobile advertising M&C Saatchi. His game experience started at Mobile Deluxe. He's also a Returned Peace Corps Volunteer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-02-10,1
epec.holdings.inc,Oct 20 2017,417500,279,http://jamesfchyde.com,https://www.facebook.com/JamesFCHydeSorghoWhiskey/,,,"Plantation, FL","Sorghum is the primary ingredient of history's oldest and most popular spirit, Chinese Baijiu, and now we're using it to make a brand new type of American whiskey the world has never tasted. James F.C. Hyde Sorgho® Whiskey's unique combination of flavor and aroma notes delight the palate, whether neat, on the rocks, in classic cocktails like a Manhattan or to inspire new world class cocktails. But don't just take our word for it–The Whiskey Wash gave us a 5/5 rating, a best in category.",Steve Vanechanos,Executive Chairman of the Board,https://www.linkedin.com/in/steve-vanechanos-000ab120/,,,"Board member of the Sweet Sorghum Association. Previously CEO of DynamicWeb, which was sold at a $50 million valuation. He was also a member of the American Stock Exchange Board of Governors.",Brian Van Flandern,Board of Directors - Strategic Industry Relations,https://www.linkedin.com/in/brian-van-flandern-8798107/,,,"World renowned Michelin 3-Star mixologist and cocktail book author. Named America’s Top Mixologist by the Food Network. Featured in dozens of publications and TV shows, and sold 100,000 book copies.",James Hyde,Vice Chairman of the Board,https://www.linkedin.com/in/jim-hyde-38199616/,,,Former Vice Chairman of the American Stock Exchange. Proud St. Johns graduate.,Ron Miller,Co-Vice Chairman,https://www.linkedin.com/in/ron-miller-472243115,,,Early ethanol pioneer as President/CEO of Fortune 1000 Aventine Renewable Energy. Founding member/chairman of the Renewable Fuels Association. Named “Entrepreneur of the Year” by Ernst and Young.,Glenn Pohs,,,,,,,,,,,,,,,,,,2017-10-20,1
ridgemontoutfitters,Oct 21 2017,195272,342,http://ridgemontoutfitters.com/,https://www.facebook.com/ridgemontoutfitters/,,,"Signal Hill, CA","When we couldn’t find the perfect adventure footwear for people like us, we set out to design it ourselves.  Ridgemont is all about form and function.  It's great quality, good looking footwear that performs when you're walking the dog or conquering the trail—but also feels comfortable enough to wear at work or out for dinner. We combine the best materials and construction techniques but with a modern aesthetic. Our mission is to move the outdoor footwear market forward to the 21st century.",Alex Hall,CEO,https://www.linkedin.com/in/alex-hall-b07a7129,,,"Former CEO of DuFFs. Founder of Jackal Distribution. Over 20 years experience of managing and directing all aspects of the introduction, marketing	and distribution of outdoor lifestyle brands.",Stacy Lowery,President,https://www.linkedin.com/in/stacy-lowery-10a09251,,,"A retired professional skateboarder, Stacy has been designing and developing shoes for core skateboarding, the action sports lifestyle, and most recently the outdoor industry for the last 8 years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-10-21,1
snapwire,May 1 2017,400000,397,https://snapwi.re,https://www.facebook.com/getsnapwire,http://twitter.com/snapwire,,"Santa Barbara, CA","Snapwire connects proven photographers, who shoot authentic & affordable royalty-free photos, to businesses & brands. Today's stock photos are overused and outdated. With Snapwire, brands call the shot, set a price, provide inspiration and 300K photographers take the challenge to shoot the perfect photos. Submissions are reviewed and licensed. Finding a stock photo to match a brand's story is like finding a needle in a haystack. Not anymore. Let affordable custom photos come to you.",Chad Newell,CEO,https://www.linkedin.com/in/chadrnewell,https://twitter.com/snapwire,https://www.facebook.com/app_scoped_user_id/1884998825057231/,"Before Snapwire, Chad founded and served as CEO of Media Bakery, served as a COO for ImageState PLC, and helped build Getty Images' Image Bank Footage Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-01,1
zipzap,Jul 13 2017,1075000,294,http://zipzap.me/,https://www.facebook.com/ZipZapInc,http://twitter.com/zipzap,,"Orinda, CA","Migrant workers send $600 billion every year to loved ones in their home countries. ZipZap makes it easy for these workers far from home to send unlimited remittances for a flat monthly rate of $25. Instead of having to visit a store, wait in line, and pay expensive fees, migrant workers can now send as many remittances as they want, at amounts they can afford—all from their phone. This is thanks to our unique technology that combines traditional SWIFT transfers with Blockchain technology.",Alan Safahi,CEO,https://www.linkedin.com/in/safahi,,,A serial entrepreneur with nearly 30 years of hands-on experience in the information tech and telecommunications industry. Successfully created and managed numerous  payment processing startups.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-13,1
myswimpro,Sep 1 2017,50000,138,http://myswimpro.com,http://facebook.com/myswimpro,http://twitter.com/myswimpro,,"Ann Arbor, MI","We deliver an incredible experience for swimmers of all levels through personalized swim workouts, instructional video content,  and detailed analytics. We've received international accolades from Apple (named Best Watch App of 2016), have been featured in Sports Illustrated and in Apple CEO Tim Cook's keynote address.",Fares Ksebati,CEO,https://www.linkedin.com/in/faresksebati,https://twitter.com/faresksebati,https://www.facebook.com/app_scoped_user_id/10208503336641656/,"A nationally recognized coach, and former collegiate swimmer. He swam at Wayne State University in Detroit and has coached for the last 7 years including: USA Club, Masters and triathlon",Adam Oxner,iOS Lead,https://www.linkedin.com/in/adoxner/,https://twitter.com/adoxner,https://www.facebook.com/adoxner,Swam collegiately at the University of Michigan. He enjoys developing for the intersection of technology and swimming with a passion for building products that make a difference in people's lives.,Michael Allon,Android Lead,https://www.linkedin.com/in/michaelallon,https://twitter.com/allonmj,https://www.facebook.com/michael.allon.54,Michael is passionate about designing mobile products and building startups. He enjoys working with swimmer's and building solutions that help them acheive their goals.,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-01,1
rentuscom,Aug 19 2017,95000,258,https://www.rentus.com,https://www.facebook.com/rentuscom/,http://twitter.com/RentUScom,,"Sherman Oaks, CA","Rentus.com is a mobile and online rental marketplace where people are able to rent just about anything: from tools and equipment, to party supplies and camping gear. Rentus is using the rise of the sharing economy to also bring the person-to-person rental industry to a user-friendly platform, as well as create a new marketplace and low cost access to consumers for companies in the rental business.",Elias Chavando,President & CEO,https://www.linkedin.com/in/chavando,https://twitter.com/EChavando,,"-Director, Autotrader.com
- Founder, Reagan.com
- Consultant and Director of multi-national classified marketplaces",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-19,1
veraroasting,Apr 8 2017,35000,319,https://www.veraroasting.com/,https://www.facebook.com/veraroasting/,http://twitter.com/veraroasting,,"Portsmouth, NH","Vera Roasting Company is passionate about crafting a premium brew that will make your taste buds and your heart happy. CoffVee™ is delicately roasted, 100% Arabica beans infused with resveratrol, the all-natural antioxidant found in red wines. Enjoy the widely accepted heart-healthy benefits of a glass of red wine in every cup of CoffVee™.",Glen Miller,Founder & CTO,https://www.linkedin.com/in/glenmillerunh,,,"Professor of Chemistry and Materials Science, Chair of Chemistry Dept. at the University of New Hampshire, Glen has been studying organic compounds for over 25 years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-04-08,1
plantsnap,Sep 16 2017,25000,361,http://www.plantsnap.net,https://www.facebook.com/PlantSnap/,http://twitter.com/plantsnap,https://www.instagram.com/plantsnap/,"Telluride, CO","Just take a photo of the plant, and PlantSnap immediately tells you what it is, if you can eat it and more. We're the first mobile app to harness machine learning technology to recognize specific plant species—and the more you use it, the smarter the app becomes. As a result, we're also building the largest, most comprehensive plant database in the world. Already, we have over 103,000 plants in our library. That's enough to cover every plant species in the United States.",Eric Ralls,CEO,https://www.linkedin.com/in/ericralls/,https://twitter.com/PlantSnap,https://www.facebook.com/app_scoped_user_id/519506911553413/,"Eric is a serial entrepreneur. A psychology and international business graduate, he has honed his skills in the tech world since 1998, merging the latest innovations with his love for the planet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-16,1
vodi,Jun 29 2017,450000,141,http://www.vodi.io,https://www.facebook.com/vodiapp/,,https://www.instagram.com/vodi.app/,"Duluth, GA","Vodi is a mobile messaging app that lets you text, call, translate, send eGifts, and more—all from one place. Over 68% of American adults have a smartphone in their pocket and more and more smartphone users are turning to free messaging apps as their main form of communication. Vodi makes it easier for smartphone users to save time, money and data on their phone–no matter where you are. Vodi is so easy to use that we already have a million downloads from 160 different countries worldwide.",Darren Lu,CEO,https://www.linkedin.com/in/darren-lu-b10a8321/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-29,1
ganaz,Nov 17 2017,89420,109,http://www.GanazApp.com,,,,"Seattle, WA","There are over a million farm workers in the U.S. and even though nearly all of them have smart phones, they still find out about work by word-of-mouth and know little about the environment they're getting into. Meanwhile, farm owners face a major labor shortage - last year over $3B of produce was unharvested because farmers couldn't find enough workers.  Ganaz is like a Glassdoor for agriculture - we help farm owners find workers and help farm workers find out which farms offer the best jobs.",Srinivas Artham,Co-founder,https://www.linkedin.com/in/sriartham,,,"Sri led the CPG division of Fair Trade to 39% annual growth, certifying ~$1.5B in retail sales.  He has an MBA from INSEAD and Systems Design Engineering degree from the University of Waterloo.",Hannah Freeman,Co-founder,https://www.linkedin.com/in/hannah-freeman-661881b/,,,"Named a “Rising Star” by the Produce Business Magazine in 2016, Hannah has built Fair Trade produce into a driving force in the industry.  She has an MBA from Portland State University.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-17,1
eliotsnutbutters,Nov 22 2017,89037,105,http://eliotsadultnutbutters.com/,,https://twitter.com/eliotsnutbutter,,"Portland, OR","We are a small batch, savory nut butter company delivering the most flavorful peanut butter you've ever had. We create high-quality, unique, and versatile nut butters that can be used not only in your classic PB&J but in your Asian stir-fry, your chicken glaze, homemade ice cream, and more. We're creating high-quality, chef-inspired nut butters that allow adults to indulge in a familiar food that also feeds their evolving tastes and demands.",Michael Kanter,CEO,https://www.linkedin.com/in/eliotsadultnutbutters,,,"Michael has extensive work experience in the food industry, from line cook to founding cook to produce specialist at Whole Foods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-22,1
comicblitz,May 2 2017,25000,237,https://www.comicblitz.com,https://www.facebook.com/Comicblitz/,http://twitter.com/comicblitzapp,http://instagram.com/comicblitz,"Los Angeles, CA",We're building the world’s largest comic book store and providing unlimited access to it all!  Comics are still for the most part old school—visit a physical store to get a 20 page issue at $3.99 apiece. But there are 120 ongoing series between Marvel & DC alone. Imagine dishing out $4 for each issue of each series you're interested in every month. Comic books are expensive!  We're bringing comics into the 21st century by offering a true all-you-can-read subscription for digital comics.,Jordan Plosky,CEO,https://www.linkedin.com/in/jordan-plosky-16b56b6,http://twitter.com/jordanplosky,,"Former Director of Content at ComicsFix. Lifelong comic book fan.  Podcast creator and host. Former band leader/member of  Billboard Top 100 artists (Miley Cyrus, Everclear, more).  NYU alumnus.",Gregory Weiss,CTO,https://www.linkedin.com/in/gweiss27,,,Senior Product Manager at Live Nation. Career technologist producing platforms for every size organization. His work is utilized by several Fortune 1000 organizations.  Alumnus of GE’s IMLP program.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-02,1
motoroso,Apr 15 2017,50000,91,http://www.motoroso.com,https://www.facebook.com/motorosoapp/,http://twitter.com/Motorosoapp,https://www.instagram.com/motoroso/,"San Luis Obispo, CA","Motoroso is your new destination for automotive and motorcycle inspiration. Do a quick visual search, explore builds, and click right in the image to expose products, videos, articles and how-to's.  Our interactive platform makes it easy to get inspired, and soon we'll build a product marketplace where you can purchase products from sellers you trust, and find the best installation shop to help with the project. It's the modern web experience enthusiasts have been waiting for.",Alex Littlewood,Founder & CEO,https://www.linkedin.com/in/alex-littlewood-9b73172,https://www.facebook.com/app_scoped_user_id/10154184258748379/,,"Alex has 10 years of startup experience, with focus in Social Media, Word-of-Mouth, and Brand Advocacy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-04-15,1
boardwalk,Nov 22 2017,500000,526,http://www.boardwalkhosp.com,https://www.facebook.com/benjerryvenicebeach/?ref=page_internal,,,"Las Vegas, NV","Later this year we will open a beautiful Ben & Jerry's Ice Cream franchise and a Peet's Coffee shop on the Venice Beach Boardwalk in Los Angeles, California. Venice Beach is the most popular beach in the world, with over 16 million annual visitors.",Klaus Moeller,CEO,https://www.linkedin.com/in/klaus-moeller-a45a8612/,https://www.facebook.com/app_scoped_user_id/10154108007951086/,,"Co-founded Genius Brands International Inc., owners of the Baby Genius Brand, Co-Founder of Capital Art Inc. Specialties: Marketing/Sales.",Mike Meader,Co-Founder/President,https://www.linkedin.com/in/mike-meader-311285124/,,,Former President at Genius Brands. Mike has previous experience in the food service industry as a franchisee of Dairy Queen International and working as a Food and Beverage Cost Controller.,Jeanene Morgan,Chief Financial Officer,https://www.linkedin.com/in/jeanene-morgan-a13a56b/,,,"BS Accounting, MBA International Management. Formerly CFO Genius Brands International and Capital Art.",,,,,,,,,,,,,,,,,,,,,,,,,2017-11-22,1
vaute,Nov 3 2017,753000,414,http://VauteNYC.com,http://www.facebook.com/vautenyc,,http://instagram.com/vaute_nyc/,"New York, NY","We create 100% vegan, high-tech outerwear that's warm enough for a Chicago winter and more beautiful than wearing animals. Our coats are also made of recycled and organic fibers wherever possible, and cut and sewn in America. I hope that one day, with your help, the world will look at wearing animals as a thing of the past.",Leanne Mai-ly Hilgart,President,,,,"Called ""the Rebel of Fashion Week"" by CNN News. ""A Game Changer"" by Conde Nast and ""Most Influential Designer"" by PETA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-03,1
recoup.fitness,Oct 31 2017,200000,436,http://recoupfitness.com,http://facebook.com/recoupfitness,http://twitter.com/recoupfitness ,http://instagram.com/recoupfitness,"Denver, CO","Recoup Fitness creates innovative recovery products trusted by professional athletes without the professional price tag. Our first product is the patented Recoup Cold Roller that helps recover sore muscles and painful injuries. Simply place the ball in the freezer for two hours and enjoy up to six hours of cold massage. Our 2-in-1 design philosophy sets us apart, which is why Olympic medalists, world cup soccer players and seven NFL teams are already customers.",Matt Hyder,CEO,https://www.linkedin.com/in/matt-hyder-73684695/,,,"Matt’s life has been marked by two passions, fitness and entrepreneurship. An Olympic level athlete from a young age, he understands athletes’ needs and the fitness industry as a whole.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-10-31,1
tankabar,Dec 25 2017,123852,251,http://www.tankabar.com/,https://www.facebook.com/tankatalk/,http://twitter.com/tankabar_linda,,"Kyle, SD","From the Oglala Lakota people of the Pine Ridge Indian Reservation, we are dedicated to a world filled with healthy foods that add to preservation of our lands and culture. By returning buffalo to the plains, we also seek to improve the economy for Native Americans. Our first products are a line of Buffalo based meat and fruit products based on the Wasna tradition of the Lakota people. Our food bars are designed to help you live life powerfully, in balance with mind, body, and spirit.",Karlene Hunter,Cofounder and CEO,,,,25 years of experience working on educational and economic development on the Pine Ridge Reservation in South Dakota,Mark Tilsen,Cofounder and President,,,,"More than 25 years of experience in nonprofit fundraising, marketing community development, and 18 years in special events marketing and productions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-25,1
